timestamp_s,CH0,CH1
0.0,0,0
0.0002577,0,1
0.00075785,0,0
0.00125765,0,1
0.0017578,0,0
0.00225765,0,1
0.00275775,0,0
0.0032576,0,1
0.00375765,0,0
0.0042575,0,1
0.0047576,0,0
0.00525745,0,1
0.0057575,0,0
0.00625735,0,1
0.00675745,0,0
0.00725735,0,1
0.00775745,0,0
0.0082573,0,1
0.0087574,0,0
0.00925725,0,1
0.00975735,0,0
0.01025725,0,1
0.01075735,0,0
0.01125715,0,1
0.01175725,0,0
0.01225715,0,1
0.0127573,0,0
0.0132572,0,1
0.01375735,0,0
0.0142572,0,1
0.0147573,0,0
0.01525715,0,1
0.01575725,0,0
0.0162571,0,1
0.0167572,0,0
0.01725705,0,1
0.01775715,0,0
0.018257,0,1
0.01875715,0,0
0.019257,0,1
0.01975705,0,0
0.0202569,0,1
0.020757,0,0
0.0212569,0,1
0.021757,0,0
0.02225685,0,1
0.02275695,0,0
0.0232568,0,1
0.0237569,0,0
0.02425675,0,1
0.0247569,0,0
0.02525675,0,1
0.0257568,0,0
0.02625665,0,1
0.0267567,0,0
0.02725655,0,1
0.0277566,0,0
0.02825645,0,1
0.0287565,0,0
0.02925635,0,1
0.02975645,0,0
0.0302563,0,1
0.0307564,0,0
0.03125625,0,1
0.03175635,0,0
0.0322562,0,1
0.03275635,0,0
0.0332562,0,1
0.0337563,0,0
0.03425615,0,1
0.03475625,0,0
0.0352561,0,1
0.0357562,0,0
0.036256,0,1
0.03675615,0,0
0.03725595,0,1
0.03775605,0,0
0.0382559,0,1
0.03875605,0,0
0.0392559,0,1
0.039756,0,0
0.0402558,0,1
0.0407559,0,0
0.04125575,0,1
0.0417558,0,0
0.0422556,0,1
0.04275565,0,0
0.0432555,0,1
0.04375555,0,0
0.0442554,0,1
0.04475545,0,0
0.0452553,0,1
0.0457554,0,0
0.0462553,0,1
0.0467554,0,0
0.04725545,0,1
0.0477556,0,0
0.0482552,0,1
0.0487553,0,0
0.04925515,0,1
0.04975525,0,0
0.05000115,1,0
0.0502551,1,1
0.0507552,1,0
0.051255,1,1
0.05175505,1,0
0.05225505,1,1
0.0527554,1,0
0.05325485,1,1
0.053755,1,0
0.0542547,1,1
0.05475475,1,0
0.05525445,1,1
0.0557577,1,0
0.0562544,1,1
0.0567545,1,0
0.05725435,1,1
0.0577544,1,0
0.0582543,1,1
0.0587544,1,0
0.0592542,1,1
0.0597543,1,0
0.06025415,1,1
0.06075425,1,0
0.0612541,1,1
0.0617542,1,0
0.0622541,1,1
0.0627542,1,0
0.06325405,1,1
0.0637541,1,0
0.06425395,1,1
0.06475405,1,0
0.0652539,1,1
0.065754,1,0
0.06597725,0,0
0.0662542,0,1
0.0667541,0,0
0.06725395,0,1
0.06775405,0,0
0.0682539,0,1
0.068754,0,0
0.06925385,0,1
0.06975395,0,0
0.07025375,0,1
0.07075385,0,0
0.07125365,0,1
0.07175355,0,0
0.07225335,0,1
0.07275365,0,0
0.07325355,0,1
0.0737534,0,0
0.0742532,0,1
0.07475325,0,0
0.07525295,0,1
0.07575305,0,0
0.07625285,0,1
0.07675295,0,0
0.07725275,0,1
0.07775285,0,0
0.07825265,0,1
0.07875275,0,0
0.07925255,0,1
0.0797526,0,0
0.0802524,0,1
0.08075245,0,0
0.08125225,0,1
0.08175235,0,0
0.0822522,0,1
0.0827523,0,0
0.0832521,0,1
0.0837522,0,0
0.084252,0,1
0.08475205,0,0
0.08525195,0,1
0.08575205,0,0
0.08625195,0,1
0.0867521,0,0
0.08725195,0,1
0.08775205,0,0
0.0882519,0,1
0.088752,0,0
0.0892519,0,1
0.089752,0,0
0.09025185,0,1
0.090752,0,0
0.0912519,0,1
0.09175205,0,0
0.0922519,0,1
0.092752,0,0
0.0932519,0,1
0.093752,0,0
0.09425185,0,1
0.094752,0,0
0.0952519,0,1
0.0957521,0,0
0.096252,0,1
0.0967521,0,0
0.097252,0,1
0.09775215,0,0
0.098252,0,1
0.09875215,0,0
0.099252,0,1
0.0997521,0,0
0.10025195,0,1
0.10075205,0,0
0.10125195,0,1
0.10175205,0,0
0.10225195,0,1
0.10275205,0,0
0.10325185,0,1
0.10375195,0,0
0.1042517,0,1
0.10475175,0,0
0.1052516,0,1
0.10575175,0,0
0.1062516,0,1
0.10675175,0,0
0.10725155,0,1
0.10775165,0,0
0.10825155,0,1
0.10875165,0,0
0.1092515,0,1
0.1097516,0,0
0.1102515,0,1
0.1107516,0,0
0.1112514,0,1
0.11175145,0,0
0.1122513,0,1
0.1127514,0,0
0.11325125,0,1
0.11375135,0,0
0.1142512,0,1
0.11475135,0,0
0.1152512,0,1
0.11575125,0,0
0.1162511,0,1
0.1167512,0,0
0.117251,0,1
0.1177511,0,0
0.1182509,0,1
0.118751,0,0
0.11925085,0,1
0.11975095,0,0
0.12025075,0,1
0.1207508,0,0
0.1212507,0,1
0.12175075,0,0
0.1222506,0,1
0.1227507,0,0
0.12325065,0,1
0.12375085,0,0
0.12425065,0,1
0.1247507,0,0
0.12525055,0,1
0.12575065,0,0
0.1262504,0,1
0.1267508,0,0
0.12725025,0,1
0.12775035,0,0
0.1282501,0,1
0.12875035,0,0
0.12925035,0,1
0.12975035,0,0
0.1302502,0,1
0.1307503,0,0
0.1312502,0,1
0.13175055,0,0
0.13225,0,1
0.13275005,0,0
0.1332498,0,1
0.1337499,0,0
0.13424975,0,1
0.1347498,0,0
0.1352496,0,1
0.1357497,0,0
0.1362496,0,1
0.13674975,0,0
0.1372496,0,1
0.1377497,0,0
0.1382495,0,1
0.1387496,0,0
0.13924945,0,1
0.1397495,0,0
0.1402493,0,1
0.1407496,0,0
0.1412496,0,1
0.1417494,0,0
0.1422494,0,1
0.14274935,0,0
0.1432492,0,1
0.14374915,0,0
0.1442491,0,1
0.14474915,0,0
0.14524895,0,1
0.1457491,0,0
0.14624875,0,1
0.1467487,0,0
0.1472489,0,1
0.1477487,0,0
0.1482485,0,1
0.14874855,0,0
0.14924835,0,1
0.1497488,0,0
0.1502481,0,1
0.15074815,0,0
0.15124805,0,1
0.1517481,0,0
0.1522481,0,1
0.1527479,0,0
0.15324795,0,1
0.15374775,0,0
0.1542474,0,1
0.15474755,0,0
0.1552474,0,1
0.15574745,0,0
0.1562473,0,1
0.1567474,0,0
0.15724725,0,1
0.1577473,0,0
0.1582471,0,1
0.1587474,0,0
0.15924695,0,1
0.1597474,0,0
0.16024685,0,1
0.1607468,0,0
0.16124675,0,1
0.16174695,0,0
0.1622466,0,1
