timestamp_s,CH0,CH1
0.0,0,0
0.0002726,0,1
0.00077265,0,0
0.0012724,0,1
0.0017724,0,0
0.00227215,0,1
0.00277215,0,0
0.0032719,0,1
0.0037719,0,0
0.0042717,0,1
0.00477165,0,0
0.0052714,0,1
0.0057713,0,0
0.00627105,0,1
0.006771,0,0
0.00727075,0,1
0.00777075,0,0
0.00827055,0,1
0.00877055,0,0
0.0092703,0,1
0.00977035,0,0
0.01027005,0,1
0.01077005,0,0
0.01126975,0,1
0.0117697,0,0
0.01226945,0,1
0.01276945,0,0
0.01326915,0,1
0.0137692,0,0
0.0142689,0,1
0.0147689,0,0
0.01526865,0,1
0.0157686,0,0
0.01626835,0,1
0.01676835,0,0
0.01726805,0,1
0.01776805,0,0
0.0182678,0,1
0.0187678,0,0
0.0192675,0,1
0.0197675,0,0
0.0202672,0,1
0.0207672,0,0
0.0212669,0,1
0.0217669,0,0
0.02226665,0,1
0.02276665,0,0
0.0232664,0,1
0.0237664,0,0
0.02426615,0,1
0.0247661,0,0
0.0252658,0,1
0.0257658,0,0
0.0262655,0,1
0.0267655,0,0
0.02726525,0,1
0.02776525,0,0
0.028265,0,1
0.028765,0,0
0.02926475,0,1
0.02976475,0,0
0.03026445,0,1
0.03076445,0,0
0.0312642,0,1
0.03176425,0,0
0.032264,0,1
0.03276395,0,0
0.0332637,0,1
0.03376365,0,0
0.0342634,0,1
0.03476335,0,0
0.0352631,0,1
0.035763,0,0
0.0362627,0,1
0.03676265,0,0
0.03726235,0,1
0.0377623,0,0
0.038262,0,1
0.038762,0,0
0.0392617,0,1
0.03976165,0,0
0.04026135,0,1
0.04076135,0,0
0.04126105,0,1
0.04176105,0,0
0.04226075,0,1
0.0427607,0,0
0.0432604,0,1
0.04376035,0,0
0.04426005,0,1
0.04476005,0,0
0.0452598,0,1
0.04575975,0,0
0.0462595,0,1
0.0467595,0,0
0.04725955,0,1
0.0477596,0,0
0.0482591,0,1
0.0487591,0,0
0.04925915,0,1
0.04975925,0,0
0.0500022,1,0
0.0502589,1,1
0.05075865,1,0
0.05125875,1,1
0.0517584,1,0
0.0522585,1,1
0.0527581,1,0
0.05325815,1,1
0.05375825,1,0
0.05425765,1,1
0.05475765,1,0
0.05525775,1,1
0.05575725,1,0
0.056257,1,1
0.05675695,1,0
0.0572566,1,1
0.05775655,1,0
0.0582563,1,1
0.05875625,1,0
0.059256,1,1
0.059756,1,0
0.06025575,1,1
0.0607558,1,0
0.06125555,1,1
0.06175555,1,0
0.06225525,1,1
0.06275525,1,0
0.063255,1,1
0.06375495,1,0
0.0642547,1,1
0.0647547,1,0
0.06525445,1,1
0.0657544,1,0
0.0659776,0,0
0.06625425,0,1
0.0667542,0,0
0.06725395,0,1
0.067754,0,0
0.06825375,0,1
0.06875415,0,0
0.0692537,0,1
0.069754,0,0
0.0702535,0,1
0.0707534,0,0
0.0712531,0,1
0.071753,0,0
0.07225275,0,1
0.0727532,0,0
0.07325255,0,1
0.07375255,0,0
0.0742524,0,1
0.07475265,0,0
0.075252,0,1
0.0757518,0,0
0.07625155,0,1
0.07675155,0,0
0.0772513,0,1
0.07775125,0,0
0.078251,0,1
0.07875095,0,0
0.07925065,0,1
0.07975075,0,0
0.0802505,0,1
0.0807505,0,0
0.08125025,0,1
0.08175015,0,0
0.0822499,0,1
0.0827499,0,0
0.0832497,0,1
0.0837498,0,0
0.0842496,0,1
0.08474965,0,0
0.08524945,0,1
0.08574945,0,0
0.08624935,0,1
0.08674945,0,0
0.08724945,0,1
0.08774905,0,0
0.0882488,0,1
0.0887488,0,0
0.08924845,0,1
0.08974845,0,0
0.09024825,0,1
0.09074825,0,0
0.09124805,0,1
0.09174805,0,0
0.09224785,0,1
0.09274795,0,0
0.09324775,0,1
0.09374785,0,0
0.09424765,0,1
0.09474775,0,0
0.0952476,0,1
0.09574765,0,0
0.09624745,0,1
0.0967475,0,0
0.09724735,0,1
0.0977474,0,0
0.0982472,0,1
0.09874725,0,0
0.09924705,0,1
0.0997471,0,0
0.1002469,0,1
0.100747,0,0
0.1012469,0,1
0.10174695,0,0
0.10224675,0,1
0.1027468,0,0
0.1032466,0,1
0.10374665,0,0
0.10424645,0,1
0.1047465,0,0
0.1052463,0,1
0.10574635,0,0
0.1062462,0,1
0.10674625,0,0
0.10724605,0,1
0.1077461,0,0
0.1082459,0,1
0.108746,0,0
0.1092458,0,1
0.10974585,0,0
0.11024565,0,1
0.1107457,0,0
0.11124545,0,1
0.11174555,0,0
0.1122453,0,1
0.11274535,0,0
0.11324515,0,1
0.11374515,0,0
0.11424495,0,1
0.114745,0,0
0.1152448,0,1
0.11574485,0,0
0.1162446,0,1
0.1167447,0,0
0.1172445,0,1
0.1177445,0,0
0.11824425,0,1
0.1187443,0,0
0.1192441,0,1
0.11974415,0,0
0.120244,0,1
0.12074405,0,0
0.12124385,0,1
0.1217439,0,0
0.1222437,0,1
0.1227438,0,0
0.12324365,0,1
0.12374365,0,0
0.12424345,0,1
0.12474345,0,0
0.1252434,0,1
0.12574355,0,0
0.1262432,0,1
0.12674325,0,0
0.12724305,0,1
0.1277431,0,0
0.1282429,0,1
0.12874295,0,0
0.12924305,0,1
0.12974285,0,0
0.13024265,0,1
0.1307427,0,0
0.1312426,0,1
0.1317425,0,0
0.1322423,0,1
0.13274235,0,0
0.13324215,0,1
0.13374225,0,0
0.1342419,0,1
0.134742,0,0
0.1352418,0,1
0.1357419,0,0
0.13624175,0,1
0.13674185,0,0
0.13724165,0,1
0.1377417,0,0
0.1382415,0,1
0.13874155,0,0
0.1392414,0,1
0.1397414,0,0
0.1402412,0,1
0.14074125,0,0
0.14124105,0,1
0.14174115,0,0
0.14224095,0,1
0.142741,0,0
0.1432408,0,1
0.14374085,0,0
0.14424065,0,1
0.1447411,0,0
0.14524065,0,1
0.14574105,0,0
0.14624055,0,1
0.14674085,0,0
0.14723975,0,1
0.1477404,0,0
0.1482403,0,1
0.14874005,0,0
0.14923995,0,1
0.14974025,0,0
0.1502398,0,1
0.1507397,0,0
0.1512396,0,1
0.1517396,0,0
0.15223945,0,1
0.15273935,0,0
0.1532391,0,1
0.1537394,0,0
0.15423885,0,1
0.15473925,0,0
0.1552392,0,1
0.1557389,0,0
0.1562389,0,1
0.1567386,0,0
0.15723845,0,1
0.15773825,0,0
0.15823815,0,1
0.1587382,0,0
0.15923835,0,1
0.159738,0,0
0.16023795,0,1
0.1607377,0,0
0.1612375,0,1
0.16173775,0,0
0.16223765,0,1
0.16273725,0,0
0.1632374,0,1
0.163737,0,0
0.1642366,0,1
0.1647366,0,0
0.1652365,0,1
0.1657365,0,0
0.16623635,0,1
0.16673615,0,0
0.1672359,0,1
0.16773615,0,0
0.16823565,0,1
0.1687359,0,0
0.1692358,0,1
0.1697354,0,0
0.17023545,0,1
0.17073515,0,0
0.1712349,0,1
0.17173475,0,0
0.1722347,0,1
0.172735,0,0
0.17323455,0,1
0.17373495,0,0
0.1742344,0,1
0.1747347,0,0
0.17523425,0,1
0.1757343,0,0
0.17623405,0,1
0.17673415,0,0
0.17723395,0,1
