timestamp_s,CH0,CH1
0.0,0,0
0.00026685,0,1
0.00076695,0,0
0.0012668,0,1
0.00176685,0,0
0.00226675,0,1
0.0027668,0,0
0.0032666,0,1
0.0037667,0,0
0.0042665,0,1
0.0047666,0,0
0.00526645,0,1
0.00576655,0,0
0.0062664,0,1
0.0067665,0,0
0.0072663,0,1
0.0077664,0,0
0.0082662,0,1
0.00876625,0,0
0.00926605,0,1
0.00976615,0,0
0.010266,0,1
0.010766,0,0
0.01126585,0,1
0.01176595,0,0
0.0122658,0,1
0.0127658,0,0
0.01326555,0,1
0.0137656,0,0
0.01426545,0,1
0.0147655,0,0
0.0152653,0,1
0.0157654,0,0
0.0162652,0,1
0.01676525,0,0
0.0172651,0,1
0.0177652,0,0
0.018265,0,1
0.01876505,0,0
0.01926495,0,1
0.01976505,0,0
0.0202649,0,1
0.020765,0,0
0.0212648,0,1
0.02176485,0,0
0.02226465,0,1
0.0227647,0,0
0.02326455,0,1
0.0237646,0,0
0.0242644,0,1
0.02476445,0,0
0.02526425,0,1
0.0257643,0,0
0.0262641,0,1
0.02676415,0,0
0.027264,0,1
0.02776405,0,0
0.02826385,0,1
0.0287639,0,0
0.0292637,0,1
0.0297637,0,0
0.03026345,0,1
0.0307635,0,0
0.0312633,0,1
0.03176335,0,0
0.0322632,0,1
0.0327633,0,0
0.0332631,0,1
0.0337631,0,0
0.0342629,0,1
0.0347629,0,0
0.03526265,0,1
0.03576265,0,0
0.03626245,0,1
0.03676245,0,0
0.0372622,0,1
0.0377622,0,0
0.038262,0,1
0.038762,0,0
0.0392618,0,1
0.0397618,0,0
0.0402615,0,1
0.0407615,0,0
0.04126125,0,1
0.04176125,0,0
0.04226105,0,1
0.0427611,0,0
0.04326085,0,1
0.04376085,0,0
0.04426065,0,1
0.04476065,0,0
0.0452604,0,1
0.0457604,0,0
0.04626015,0,1
0.0467601,0,0
0.0472601,0,1
0.0477602,0,0
0.04825975,0,1
0.0487598,0,0
0.04925985,0,1
0.04976,0,0
0.050003,1,0
0.0502597,1,1
0.05075945,1,0
0.05125955,1,1
0.05175915,1,0
0.05225925,1,1
0.0527589,1,0
0.053259,1,1
0.05375865,1,0
0.0542584,1,1
0.0547584,1,0
0.0552586,1,1
0.05576165,1,0
0.05625795,1,1
0.056758,1,0
0.05725775,1,1
0.0577577,1,0
0.05825745,1,1
0.05875745,1,0
0.0592572,1,1
0.05975725,1,0
0.060257,1,1
0.060757,1,0
0.06125675,1,1
0.0617567,1,0
0.06225645,1,1
0.0627565,1,0
0.0632563,1,1
0.06375635,1,0
0.06425615,1,1
0.06475625,1,0
0.065256,1,1
0.065756,1,0
0.0659792,0,0
0.0662563,0,1
0.06675595,0,0
0.0672557,0,1
0.0677557,0,0
0.0682555,0,1
0.0687555,0,0
0.0692553,0,1
0.0697553,0,0
0.07025505,0,1
0.0707551,0,0
0.071255,0,1
0.07175475,0,0
0.0722545,0,1
0.0727545,0,0
0.07325475,0,1
0.0737544,0,0
0.07425415,0,1
0.0747543,0,0
0.07525395,0,1
0.075754,0,0
0.07625365,0,1
0.0767537,0,0
0.0772535,0,1
0.0777535,0,0
0.0782533,0,1
0.07875335,0,0
0.0792531,0,1
0.0797531,0,0
0.08025285,0,1
0.08075285,0,0
0.0812526,0,1
0.08175255,0,0
0.0822524,0,1
0.0827524,0,0
0.0832522,0,1
0.08375225,0,0
0.084252,0,1
0.084752,0,0
0.08525175,0,1
0.08575175,0,0
0.08625155,0,1
0.0867517,0,0
0.0872515,0,1
0.08775155,0,0
0.08825145,0,1
0.08875135,0,0
0.0892512,0,1
0.08975105,0,0
0.09025085,0,1
0.0907509,0,0
0.09125075,0,1
0.0917508,0,0
0.09225065,0,1
0.0927507,0,0
0.0932505,0,1
0.09375055,0,0
0.09425035,0,1
0.0947504,0,0
0.09525015,0,1
0.09575025,0,0
0.0962501,0,1
0.09675015,0,0
0.09724995,0,1
0.09775,0,0
0.0982498,0,1
0.0987498,0,0
0.0992496,0,1
0.09974965,0,0
0.1002495,0,1
0.10074955,0,0
0.1012494,0,1
0.10174945,0,0
0.10224925,0,1
0.10274935,0,0
0.1032492,0,1
0.10374925,0,0
0.1042491,0,1
0.1047492,0,0
0.105249,0,1
0.1057491,0,0
0.1062489,0,1
0.10674895,0,0
0.10724875,0,1
0.10774885,0,0
0.10824865,0,1
0.10874875,0,0
0.10924855,0,1
0.1097486,0,0
0.11024835,0,1
0.11074845,0,0
0.11124825,0,1
0.11174825,0,0
0.11224805,0,1
0.11274815,0,0
0.11324795,0,1
0.11374805,0,0
0.11424785,0,1
0.11474795,0,0
0.1152477,0,1
0.1157478,0,0
0.11624755,0,1
0.1167476,0,0
0.11724735,0,1
0.1177474,0,0
0.11824715,0,1
0.1187472,0,0
0.11924695,0,1
0.11974695,0,0
0.12024675,0,1
0.12074685,0,0
0.12124665,0,1
0.1217467,0,0
0.1222465,0,1
0.1227466,0,0
0.1232464,0,1
0.1237465,0,0
0.1242463,0,1
0.1247463,0,0
0.1252462,0,1
0.12574645,0,0
0.12624635,0,1
0.126746,0,0
0.1272457,0,1
0.12774565,0,0
0.1282454,0,1
0.12874545,0,0
0.1292453,0,1
0.12974535,0,0
0.1302454,0,1
0.1307452,0,0
0.13124535,0,1
0.13174535,0,0
0.13224515,0,1
0.13274465,0,0
0.13324455,0,1
0.1337446,0,0
0.1342443,0,1
0.13474435,0,0
0.1352441,0,1
0.1357441,0,0
0.1362439,0,1
0.13674395,0,0
0.13724375,0,1
0.1377438,0,0
0.13824365,0,1
0.1387437,0,0
0.13924355,0,1
0.1397436,0,0
0.14024345,0,1
0.1407435,0,0
0.1412433,0,1
0.14174335,0,0
0.1422432,0,1
0.14274325,0,0
0.14324305,0,1
0.14374305,0,0
0.14424285,0,1
0.1447431,0,0
0.14524305,0,1
0.1457428,0,0
0.1462427,0,1
0.14674265,0,0
0.1472424,0,1
0.1477423,0,0
0.1482422,0,1
0.14874235,0,0
0.14924205,0,1
0.149742,0,0
0.1502419,0,1
0.15074195,0,0
0.15124165,0,1
0.15174175,0,0
0.1522417,0,1
0.15274175,0,0
0.15324155,0,1
0.1537416,0,0
0.15424145,0,1
0.15474155,0,0
0.15524175,0,1
0.15574145,0,0
0.1562415,0,1
0.1567413,0,0
0.15724125,0,1
0.1577412,0,0
0.1582411,0,1
0.1587408,0,0
0.1592407,0,1
0.15974075,0,0
0.16024055,0,1
0.16074055,0,0
0.16124035,0,1
0.16174045,0,0
0.1622406,0,1
0.16274025,0,0
0.1632402,0,1
0.16374015,0,0
0.16423995,0,1
0.16474005,0,0
0.16524,0,1
0.1657398,0,0
0.16623915,0,1
0.16673975,0,0
0.1672397,0,1
0.16773975,0,0
0.1682395,0,1
0.16873955,0,0
0.16923935,0,1
0.1697394,0,0
0.1702396,0,1
0.17073925,0,0
0.17123935,0,1
0.17173915,0,0
0.17223925,0,1
0.17273905,0,0
0.1732391,0,1
0.1737389,0,0
0.17423905,0,1
0.1747387,0,0
0.17523855,0,1
0.1757386,0,0
0.1762384,0,1
0.17673845,0,0
0.17723825,0,1
0.1777383,0,0
0.17823835,0,1
0.1787385,0,0
0.17923805,0,1
0.17973825,0,0
0.1802378,0,1
0.180738,0,0
0.18123755,0,1
0.1817376,0,0
0.1822375,0,1
0.1827375,0,0
0.18323725,0,1
0.18373725,0,0
0.18423695,0,1
0.18473695,0,0
0.18523665,0,1
0.18573665,0,0
0.1862364,0,1
0.18673645,0,0
0.1872362,0,1
0.1877362,0,0
0.1882363,0,1
0.1887359,0,0
0.18923575,0,1
0.1897359,0,0
0.1902354,0,1
0.19073565,0,0
0.19123555,0,1
0.19173515,0,0
0.1922352,0,1
0.1927352,0,0
0.19323505,0,1
0.19373465,0,0
0.19423465,0,1
0.1947344,0,0
0.1952345,0,1
0.19573415,0,0
0.19623385,0,1
0.19673385,0,0
0.1972338,0,1
0.19773385,0,0
0.1982337,0,1
0.1987337,0,0
0.19923355,0,1
0.19973365,0,0
0.20023335,0,1
0.20073355,0,0
0.2012334,0,1
0.20173345,0,0
0.20223325,0,1
0.2027333,0,0
0.2032335,0,1
0.2037332,0,0
0.2042331,0,1
0.20473325,0,0
0.2052328,0,1
0.2057331,0,0
0.20623305,0,1
0.2067327,0,0
0.20723275,0,1
0.20773285,0,0
0.2082328,0,1
0.20873255,0,0
0.20923265,0,1
0.2097325,0,0
0.21023275,0,1
0.21073245,0,0
0.21123215,0,1
0.2117322,0,0
0.21223215,0,1
0.21273225,0,0
0.2132321,0,1
0.2137322,0,0
0.21423205,0,1
0.2147321,0,0
0.21523195,0,1
0.215732,0,0
0.21623215,0,1
0.21673235,0,0
0.21723195,0,1
0.2177322,0,0
0.21823175,0,1
0.218732,0,0
0.2192317,0,1
0.21973175,0,0
0.22023155,0,1
0.2207316,0,0
0.22123145,0,1
0.2217315,0,0
0.2222313,0,1
0.22273135,0,0
0.2232313,0,1
0.2237315,0,0
0.2242311,0,1
0.2247313,0,0
0.225231,0,1
0.2257311,0,0
0.2262308,0,1
0.2267309,0,0
0.22723085,0,1
0.2277309,0,0
0.2282307,0,1
0.2287308,0,0
0.22923065,0,1
0.2297307,0,0
0.23023055,0,1
0.23073055,0,0
0.2312306,0,1
0.2317308,0,0
0.2322304,0,1
0.2327306,0,0
0.2332302,0,1
0.2337304,0,0
0.23423005,0,1
0.23473015,0,0
0.23522995,0,1
0.23573,0,0
0.2362298,0,1
0.2367298,0,0
0.2372296,0,1
0.23772965,0,0
0.2382296,0,1
0.2387298,0,0
0.2392294,0,1
0.23972955,0,0
0.24022925,0,1
0.24072935,0,0
0.24122895,0,1
0.241729,0,0
0.2422289,0,1
0.2427289,0,0
0.2432287,0,1
0.24372875,0,0
0.24422855,0,1
0.24472865,0,0
0.2452285,0,1
0.2457286,0,0
0.24622865,0,1
0.24672885,0,0
0.2472283,0,1
0.24772845,0,0
0.24822815,0,1
0.24872825,0,0
0.2492282,0,1
0.24972845,0,0
0.25022795,0,1
0.25072825,0,0
0.25122815,0,1
0.25172785,0,0
0.25222795,0,1
0.2527281,0,0
0.2532281,0,1
0.25372785,0,0
0.2542279,0,1
0.25472775,0,0
0.2552277,0,1
0.25572795,0,0
0.2562274,0,1
0.25672745,0,0
0.2572274,0,1
0.2577274,0,0
0.25822715,0,1
0.25872725,0,0
0.25922705,0,1
0.25972715,0,0
0.26022695,0,1
0.260727,0,0
0.261227,0,1
0.2617272,0,0
0.26222675,0,1
0.26272695,0,0
0.2632265,0,1
0.26372665,0,0
0.26422635,0,1
0.26472635,0,0
0.2652262,0,1
0.26572625,0,0
0.26622605,0,1
0.26672615,0,0
0.26722595,0,1
0.267726,0,0
0.268226,0,1
0.2687262,0,0
0.2692258,0,1
0.26972605,0,0
0.27022575,0,1
0.27072585,0,0
0.27122555,0,1
0.2717256,0,0
0.2722255,0,1
0.27272555,0,0
0.27322535,0,1
0.27372545,0,0
0.2742253,0,1
0.2747253,0,0
0.27522515,0,1
0.2757252,0,0
0.27622525,0,1
0.2767254,0,0
0.27722495,0,1
0.27772515,0,0
0.2782247,0,1
0.27872485,0,0
0.27922465,0,1
0.27972475,0,0
0.2802246,0,1
0.28072465,0,0
0.2812245,0,1
0.2817246,0,0
0.28222445,0,1
0.28272455,0,0
0.2832246,0,1
0.2837248,0,0
0.28422445,0,1
0.2847247,0,0
0.2852244,0,1
0.28572455,0,0
0.28622425,0,1
0.28672435,0,0
0.28722435,0,1
0.2877244,0,0
0.2882242,0,1
0.2887243,0,0
0.2892241,0,1
0.28972415,0,0
0.29022415,0,1
0.2907239,0,0
0.2912239,0,1
0.29172405,0,0
0.29222355,0,1
0.2927237,0,0
0.29322325,0,1
0.2937234,0,0
0.29422305,0,1
0.29472305,0,0
0.2952228,0,1
0.29572285,0,0
0.29622265,0,1
0.29672275,0,0
0.29722255,0,1
0.29772255,0,0
0.29822235,0,1
0.29872235,0,0
0.2992221,0,1
0.2997222,0,0
0.300222,0,1
0.30072205,0,0
0.3012218,0,1
0.3017218,0,0
0.3022217,0,1
0.30272175,0,0
0.3032215,0,1
0.30372155,0,0
0.3042213,0,1
0.30472135,0,0
0.305221,0,1
0.3057212,0,0
0.306221,0,1
0.306721,0,0
0.3072208,0,1
0.3077208,0,0
0.308221,0,1
0.3087207,0,0
0.30922065,0,1
0.30972085,0,0
0.31022045,0,1
0.31072075,0,0
0.31122065,0,1
0.31172035,0,0
0.3122204,0,1
0.31272045,0,0
0.31322035,0,1
0.31372005,0,0
0.3142201,0,1
0.31471985,0,0
0.31522,0,1
0.31571965,0,0
0.31621925,0,1
0.3167193,0,0
0.31721925,0,1
0.3177194,0,0
0.3182193,0,1
0.31871945,0,0
0.3192193,0,1
0.31971945,0,0
0.3202193,0,1
0.3207194,0,0
0.3212195,0,1
0.3217197,0,0
0.32221925,0,1
0.32271945,0,0
0.323219,0,1
0.3237192,0,0
0.32421895,0,1
0.32471905,0,0
0.3252189,0,1
0.325719,0,0
0.32621885,0,1
0.32671895,0,0
0.3272188,0,1
0.3277189,0,0
0.3282189,0,1
0.32871915,0,0
0.32921875,0,1
0.32971895,0,0
0.33021865,0,1
0.3307187,0,0
0.33121835,0,1
0.3317184,0,0
0.33221835,0,1
0.33271835,0,0
0.3332182,0,1
0.33371825,0,0
0.33421805,0,1
0.3347181,0,0
0.3352179,0,1
0.335718,0,0
0.33621805,0,1
0.33671825,0,0
0.33721785,0,1
0.33771805,0,0
0.3382176,0,1
0.33871775,0,0
0.33921745,0,1
0.33971755,0,0
0.3402174,0,1
0.34071745,0,0
0.3412173,0,1
0.3417174,0,0
0.34221715,0,1
0.34271725,0,0
0.3432172,0,1
0.34371735,0,0
0.34421695,0,1
0.34471715,0,0
0.3452169,0,1
0.34571695,0,0
0.34621665,0,1
0.34671675,0,0
0.34721665,0,1
0.3477167,0,0
